name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,isin_region,手机号识别,bd09_lng,bd09_lat,行业大类,行业子类
杭州谷峰琴行,浙江省,杭州市,西湖区,浙江省杭州市西湖区尚坤云谷中心509~511室,13362186855,5b6880bf1f119d421c3894ce,5b6880bf1f119d421c3894ce,1,"{'distance': 0, 'tag': '购物;商铺', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=5b6880bf1f119d421c3894ce&output=html&source=placeapi_v2', 'overall_rating': '4.7', 'comment_num': '7', 'shop_hours': '', 'label': '乐器行', 'children': []}","{'lat': 30.335718, 'lng': 120.077351}",http://api.map.baidu.com/place/detail?uid=5b6880bf1f119d421c3894ce&output=html&source=placeapi_v2,购物;商铺,shopping,False,1,120.077351,30.335718,购物,商铺
杭州华联(首尔店),浙江省,杭州市,西湖区,浙江省杭州市西湖区霞鸣街167号,13429331583,24b1c1b26054854845572654,24b1c1b26054854845572654,1,"{'distance': 0, 'tag': '购物;便利店', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=24b1c1b26054854845572654&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '便利店', 'children': []}","{'lat': 30.14762, 'lng': 120.077951}",http://api.map.baidu.com/place/detail?uid=24b1c1b26054854845572654&output=html&source=placeapi_v2,购物;便利店,shopping,False,1,120.077951,30.14762,购物,便利店
潇洒一身服装店(留下商贸中心店),浙江省,杭州市,西湖区,浙江省杭州市西湖区留下街107号留下商贸中心1楼,13906500286,69130523af703c75735e80af,69130523af703c75735e80af,1,"{'distance': 0, 'tag': '购物;商铺', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=69130523af703c75735e80af&output=html&source=placeapi_v2', 'overall_rating': '0', 'comment_num': '1', 'shop_hours': '', 'label': '服装店', 'children': []}","{'lat': 30.247788, 'lng': 120.061409}",http://api.map.baidu.com/place/detail?uid=69130523af703c75735e80af&output=html&source=placeapi_v2,购物;商铺,shopping,False,1,120.061409,30.247788,购物,商铺
布凡男装(转塘店),浙江省,杭州市,西湖区,金街美地商业中心4号楼117室,18257179799,6af4097f675671b82b06ce21,None,1,"{'distance': 0, 'tag': '购物;商铺', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=6af4097f675671b82b06ce21&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '男装店', 'children': []}","{'lat': 30.154117, 'lng': 120.085637}",http://api.map.baidu.com/place/detail?uid=6af4097f675671b82b06ce21&output=html&source=placeapi_v2,购物;商铺,shopping,False,1,120.085637,30.154117,购物,商铺
秀琴金店,浙江省,杭州市,西湖区,浙江省杭州市西湖区屏基山路41号金屏大厦102-56室,13685773031,a43844bb8ceee90a02294fe3,a43844bb8ceee90a02294fe3,1,"{'distance': 0, 'tag': '购物;商铺', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=a43844bb8ceee90a02294fe3&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '黄金首饰店', 'children': []}","{'lat': 30.240874, 'lng': 120.061145}",http://api.map.baidu.com/place/detail?uid=a43844bb8ceee90a02294fe3&output=html&source=placeapi_v2,购物;商铺,shopping,False,1,120.061145,30.240874,购物,商铺
宇雪烟行(留下街分店),浙江省,杭州市,西湖区,浙江省杭州市西湖区留下大街107号1楼,15868811171,39f570f345a162462fe67b97,39f570f345a162462fe67b97,1,"{'distance': 0, 'tag': '购物;商铺', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=39f570f345a162462fe67b97&output=html&source=placeapi_v2', 'overall_rating': '1.0', 'comment_num': '3', 'shop_hours': '', 'label': '烟酒店', 'children': []}","{'lat': 30.247914, 'lng': 120.061483}",http://api.map.baidu.com/place/detail?uid=39f570f345a162462fe67b97&output=html&source=placeapi_v2,购物;商铺,shopping,False,1,120.061483,30.247914,购物,商铺
黄金珠宝,浙江省,杭州市,西湖区,浙江省杭州市西湖区金街美地商业中心5号楼125室,13777848141,741ea089fbe3a2d5132935d7,,1,"{'distance': 4026, 'tag': '购物;商铺', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=741ea089fbe3a2d5132935d7&output=html&source=placeapi_v2', 'shop_hours': '09:00-21:00', 'label': '黄金首饰店', 'children': []}","{'lat': 30.154253, 'lng': 120.084614}",http://api.map.baidu.com/place/detail?uid=741ea089fbe3a2d5132935d7&output=html&source=placeapi_v2,购物;商铺,shopping,False,1,120.084614,30.154253,购物,商铺
辉缘超市,浙江省,杭州市,西湖区,浙江省杭州市西湖区荆山岭路2号汇峰国际C座102-105西南方向40米,13675839021,23847289adf830da71210b58,23847289adf830da71210b58,1,"{'distance': 0, 'tag': '购物;超市', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=23847289adf830da71210b58&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '超市', 'children': []}","{'lat': 30.244805, 'lng': 120.057309}",http://api.map.baidu.com/place/detail?uid=23847289adf830da71210b58&output=html&source=placeapi_v2,购物;超市,shopping,False,1,120.057309,30.244805,购物,超市
西湖龙井狮峰山炒茶中心,浙江省,杭州市,西湖区,浙江省杭州市西湖区龙井村160号,13968129117,1ef8d2b1b04ea0018d7727c1,1ef8d2b1b04ea0018d7727c1,1,"{'distance': 0, 'tag': '购物;商铺', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=1ef8d2b1b04ea0018d7727c1&output=html&source=placeapi_v2', 'overall_rating': '3.8', 'comment_num': '1', 'shop_hours': '', 'label': '茶叶', 'children': []}","{'lat': 30.225155, 'lng': 120.111678}",http://api.map.baidu.com/place/detail?uid=1ef8d2b1b04ea0018d7727c1&output=html&source=placeapi_v2,购物;商铺,shopping,False,1,120.111678,30.225155,购物,商铺
君丽茶铺(解百灵隐购物中心店),浙江省,杭州市,西湖区,浙江省杭州市西湖区灵隐路38号,13957160490,9fe0e49c9492c6a8c17da2c3,9fe0e49c9492c6a8c17da2c3,1,"{'distance': 0, 'tag': '购物;商铺', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=9fe0e49c9492c6a8c17da2c3&output=html&source=placeapi_v2', 'overall_rating': '3.8', 'comment_num': '0', 'shop_hours': '', 'label': '茶叶店', 'children': []}","{'lat': 30.247444, 'lng': 120.112715}",http://api.map.baidu.com/place/detail?uid=9fe0e49c9492c6a8c17da2c3&output=html&source=placeapi_v2,购物;商铺,shopping,False,1,120.112715,30.247444,购物,商铺
