name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,isin_region,手机号识别,bd09_lng,bd09_lat,wgs84_location,wgs84_lng,wgs84_lat,行业大类,行业子类
杭州市西湖区博爱幼儿园,浙江省,杭州市,西湖区,杭州市西湖区花牌楼144号,13346182235,4ff4fd652846daf845572604,4ff4fd652846daf845572604,1,"{'distance': 0, 'tag': '教育培训;幼儿园', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=4ff4fd652846daf845572604&output=html&source=placeapi_v2', 'overall_rating': '0.0', 'comment_num': '1', 'shop_hours': '', 'label': '幼儿园', 'children': []}","{'lat': 30.231541, 'lng': 120.063717}",http://api.map.baidu.com/place/detail?uid=4ff4fd652846daf845572604&output=html&source=placeapi_v2,教育培训;幼儿园,education,False,1,120.063717,30.231541,"120.0523408401645,30.22821208696797",120.0523408401645,30.22821208696797,教育培训,幼儿园
格物斯坦机器人,浙江省,杭州市,西湖区,浙江省杭州市西湖区厚仁路303号生活广场知行乾坤教育城7楼313号,18969058248,f3f0c212e056d76ebda240ef,f3f0c212e056d76ebda240ef,1,"{'distance': 0, 'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=f3f0c212e056d76ebda240ef&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '电脑培训', 'children': []}","{'lat': 30.338122, 'lng': 120.085245}",http://api.map.baidu.com/place/detail?uid=f3f0c212e056d76ebda240ef&output=html&source=placeapi_v2,教育培训;培训机构,education,True,1,120.085245,30.338122,"120.07389048658612,30.334598638990844",120.07389048658612,30.334598638990844,教育培训,培训机构
筝琴乐府(浙音店),浙江省,杭州市,西湖区,浙江省杭州市西湖区沈横路定北家园一区15号,13706719106,c9a767b7e688ab5eb320a81c,c9a767b7e688ab5eb320a81c,1,"{'distance': 0, 'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=c9a767b7e688ab5eb320a81c&output=html&source=placeapi_v2', 'overall_rating': '4.6', 'comment_num': '1', 'shop_hours': '', 'label': '培训机构', 'children': []}","{'lat': 30.164665, 'lng': 120.075982}",http://api.map.baidu.com/place/detail?uid=c9a767b7e688ab5eb320a81c&output=html&source=placeapi_v2,教育培训;培训机构,education,True,1,120.075982,30.164665,"120.0645799812196,30.16127293018138",120.0645799812196,30.16127293018138,教育培训,培训机构
燕壹设计(国美中心校区),浙江省,杭州市,西湖区,浙江省杭州市西湖区美院北路星光荟7号楼202室,17857111149,f512a90c10202c32213bf225,None,1,"{'distance': 0, 'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=f512a90c10202c32213bf225&output=html&source=placeapi_v2', 'overall_rating': '5', 'comment_num': '1', 'shop_hours': '', 'label': '培训机构', 'children': []}","{'lat': 30.164577, 'lng': 120.082575}",http://api.map.baidu.com/place/detail?uid=f512a90c10202c32213bf225&output=html&source=placeapi_v2,教育培训;培训机构,education,True,1,120.082575,30.164577,"120.07118936324335,30.161100631777764",120.07118936324335,30.161100631777764,教育培训,培训机构
绘梦部落美术馆(三墩校区),浙江省,杭州市,西湖区,浙江省杭州市西湖区荡漾路留云苑1幢110号,15988898819,2e20c0c84224e5cae812e4ba,2e20c0c84224e5cae812e4ba,1,"{'distance': 0, 'tag': '休闲娱乐;其他', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=2e20c0c84224e5cae812e4ba&output=html&source=placeapi_v2', 'image_num': '18', 'comment_num': '3', 'shop_hours': '', 'label': '美术馆', 'children': []}","{'lat': 30.337056, 'lng': 120.087386}",http://api.map.baidu.com/place/detail?uid=2e20c0c84224e5cae812e4ba&output=html&source=placeapi_v2,休闲娱乐;其他,life,True,1,120.087386,30.337056,"120.07604029334773,30.333496281997842",120.07604029334773,30.333496281997842,休闲娱乐,其他
长春书院,浙江省,杭州市,西湖区,浙江省杭州市西湖区西湖街道天竺路233号,13995651133,3b85310c9affd4f53f9a5e25,3b85310c9affd4f53f9a5e25,1,"{'distance': 0, 'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=3b85310c9affd4f53f9a5e25&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '培训机构', 'children': []}","{'lat': 30.244148, 'lng': 120.113189}",http://api.map.baidu.com/place/detail?uid=3b85310c9affd4f53f9a5e25&output=html&source=placeapi_v2,教育培训;培训机构,education,True,1,120.113189,30.244148,"120.10196176408319,30.240146717383052",120.10196176408319,30.240146717383052,教育培训,培训机构
艺上画室,浙江省,杭州市,西湖区,浙江杭州市西湖区转塘街道大象画室前100米,13429121199,f52bbc436c858ef832870a73,f52bbc436c858ef832870a73,1,"{'distance': 0, 'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=f52bbc436c858ef832870a73&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '美术培训', 'children': []}","{'lat': 30.158016, 'lng': 120.07813}",http://api.map.baidu.com/place/detail?uid=f52bbc436c858ef832870a73&output=html&source=placeapi_v2,教育培训;培训机构,education,True,1,120.07813,30.158016,"120.0667308741909,30.154599742589447",120.0667308741909,30.154599742589447,教育培训,培训机构
杭州艺声昇音乐培训,浙江省,杭州市,西湖区,杭州市西湖区龙田街象山国际广场,13588255447,3e755d048d0a56683ce231e7,None,1,"{'distance': 0, 'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=3e755d048d0a56683ce231e7&output=html&source=placeapi_v2', 'overall_rating': '5', 'comment_num': '2', 'shop_hours': '', 'label': '培训机构', 'children': []}","{'lat': 30.156222, 'lng': 120.085467}",http://api.map.baidu.com/place/detail?uid=3e755d048d0a56683ce231e7&output=html&source=placeapi_v2,教育培训;培训机构,education,True,1,120.085467,30.156222,"120.07409047480937,30.152699427452234",120.07409047480937,30.152699427452234,教育培训,培训机构
二胡教室,浙江省,杭州市,西湖区,杭州市西湖区池华街金地自在城,15046526080,384bdce2ee69b0f1626858b2,384bdce2ee69b0f1626858b2,1,"{'distance': 0, 'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=384bdce2ee69b0f1626858b2&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '培训机构', 'children': []}","{'lat': 30.340446, 'lng': 120.082965}",http://api.map.baidu.com/place/detail?uid=384bdce2ee69b0f1626858b2&output=html&source=placeapi_v2,教育培训;培训机构,education,True,1,120.082965,30.340446,"120.07160165697168,30.33695855996207",120.07160165697168,30.33695855996207,教育培训,培训机构
金箍奖影视研学基地,浙江省,杭州市,西湖区,浙江省杭州市西湖区凤凰创意大厦3a号楼527室,13326139330,869c7c417b6249c4f7e73b7c,869c7c417b6249c4f7e73b7c,1,"{'distance': 0, 'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=869c7c417b6249c4f7e73b7c&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '培训机构', 'children': []}","{'lat': 30.145352, 'lng': 120.074307}",http://api.map.baidu.com/place/detail?uid=869c7c417b6249c4f7e73b7c&output=html&source=placeapi_v2,教育培训;培训机构,education,False,1,120.074307,30.145352,"120.06290525172425,30.141976740194735",120.06290525172425,30.141976740194735,教育培训,培训机构
