name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,isin_region,手机号识别,bd09_lng,bd09_lat,行业大类,行业子类
撷闻,浙江省,杭州市,西湖区,浙江省杭州市西湖区石板路69号,15058168305,c37f4cbec51ee2b915a190dc,None,1,"{'distance': 0, 'tag': '旅游景点;博物馆', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=c37f4cbec51ee2b915a190dc&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '旅游景点 博物馆', 'children': []}","{'lat': 30.23079, 'lng': 120.158445}",http://api.map.baidu.com/place/detail?uid=c37f4cbec51ee2b915a190dc&output=html&source=placeapi_v2,旅游景点;博物馆,scope,False,1,120.158445,30.23079,旅游景点,博物馆
树灵飞虹,浙江省,杭州市,西湖区,杭州市西湖区天目山路518号西溪国家湿地公园内,18657132695,8d09a1d7fe76aa8bc9c3db75,8d09a1d7fe76aa8bc9c3db75,1,"{'distance': 0, 'tag': '旅游景点;风景区', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=8d09a1d7fe76aa8bc9c3db75&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '景区,', 'children': []}","{'lat': 30.277949, 'lng': 120.096106}",http://api.map.baidu.com/place/detail?uid=8d09a1d7fe76aa8bc9c3db75&output=html&source=placeapi_v2,旅游景点;风景区,scope,False,1,120.096106,30.277949,旅游景点,风景区
杭州龙坞茶镇,浙江省,杭州市,西湖区,浙江省杭州市西湖区转塘街道龙坞工业区块140号101,15168395725,b803b1843e32ee72e812e4f3,None,1,"{'distance': 3376, 'tag': '旅游景点;景点', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=b803b1843e32ee72e812e4f3&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '景区,', 'children': []}","{'lat': 30.189243, 'lng': 120.064415}",http://api.map.baidu.com/place/detail?uid=b803b1843e32ee72e812e4f3&output=html&source=placeapi_v2,旅游景点;景点,scope,False,1,120.064415,30.189243,旅游景点,景点
杭州树台子文化旅游有限公司,浙江省,杭州市,西湖区,浙江省杭州市西湖区转塘街道外桐坞108号2楼,18069798089,093639fb85567738b75f1e45,None,1,"{'distance': 0, 'tag': '公司企业;公司', 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=093639fb85567738b75f1e45&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '旅行社', 'children': []}","{'lat': 30.205835, 'lng': 120.064073}",http://api.map.baidu.com/place/detail?uid=093639fb85567738b75f1e45&output=html&source=placeapi_v2,公司企业;公司,enterprise,False,1,120.064073,30.205835,公司企业,公司
杭州艾游旅行社有限公司,浙江省,杭州市,西湖区,浙江省杭州市西湖区环镇北路与西陈路交汇处南200米创美·华彩国际6幢1801,15869117525,0012f4c05b80fe026c3e1bb3,None,1,"{'distance': 0, 'tag': '公司企业;公司', 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=0012f4c05b80fe026c3e1bb3&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '旅行社', 'children': []}","{'lat': 30.327841, 'lng': 120.076081}",http://api.map.baidu.com/place/detail?uid=0012f4c05b80fe026c3e1bb3&output=html&source=placeapi_v2,公司企业;公司,enterprise,False,1,120.076081,30.327841,公司企业,公司
慧因湖书院,浙江省,杭州市,西湖区,浙江省杭州市西湖区三台山路149-1号3幢,19941496585,6a5b7d0d8a5d9d82475726b1,,1,"{'distance': 410, 'tag': '美食;茶座', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=6a5b7d0d8a5d9d82475726b1&output=html&source=placeapi_v2', 'comment_num': '0', 'shop_hours': '09:30-18:00', 'label': '茶座', 'children': []}","{'lat': 30.234221, 'lng': 120.137188}",http://api.map.baidu.com/place/detail?uid=6a5b7d0d8a5d9d82475726b1&output=html&source=placeapi_v2,美食;茶座,cater,False,1,120.137188,30.234221,美食,茶座
桐坞古庙,浙江省,杭州市,西湖区,杭州市西湖区转塘街道桐坞村桐坞古庙,15869196457,0ce91c9ac4581bb928b97c87,None,1,"{'distance': 0, 'tag': '旅游景点;文物古迹', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=0ce91c9ac4581bb928b97c87&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '景区,', 'children': []}","{'lat': 30.200047, 'lng': 120.055472}",http://api.map.baidu.com/place/detail?uid=0ce91c9ac4581bb928b97c87&output=html&source=placeapi_v2,旅游景点;文物古迹,scope,False,1,120.055472,30.200047,旅游景点,文物古迹
龙坞茶镇·九街驿站游客中心(旅游驿站),浙江省,杭州市,西湖区,杭州市西湖区龙坞茶镇九街游客中心内,13777876628,b9954f846b379a9b01294f4d,b9954f846b379a9b01294f4d,1,"{'distance': 0, 'tag': '生活服务;其他', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=b9954f846b379a9b01294f4d&output=html&source=placeapi_v2', 'overall_rating': '0', 'image_num': '3', 'comment_num': '1', 'shop_hours': '', 'label': '生活服务', 'children': []}","{'lat': 30.189089, 'lng': 120.063635}",http://api.map.baidu.com/place/detail?uid=b9954f846b379a9b01294f4d&output=html&source=placeapi_v2,生活服务;其他,life,False,1,120.063635,30.189089,生活服务,其他
杭州子乐旅游开发有限公司,浙江省,杭州市,西湖区,浙江省杭州市西湖区叶埠桥社区走马畈10号,13336006029,63935d8ef59a45d99fe321a7,None,1,"{'distance': 0, 'tag': '公司企业;公司', 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=63935d8ef59a45d99fe321a7&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '旅行社', 'children': []}","{'lat': 30.181267, 'lng': 120.069802}",http://api.map.baidu.com/place/detail?uid=63935d8ef59a45d99fe321a7&output=html&source=placeapi_v2,公司企业;公司,enterprise,False,1,120.069802,30.181267,公司企业,公司
迟桂亭,浙江省,杭州市,西湖区,浙江省杭州市西湖区满觉陇路翁家山小学西侧约180米,13601164531,ff178b920ea2a1e4e315f95b,None,1,"{'distance': 594228, 'tag': '旅游景点;风景区', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=ff178b920ea2a1e4e315f95b&output=html&source=placeapi_v2', 'image_num': '1', 'shop_hours': '', 'label': '景区,', 'children': []}","{'lat': 30.225038, 'lng': 120.121067}",http://api.map.baidu.com/place/detail?uid=ff178b920ea2a1e4e315f95b&output=html&source=placeapi_v2,旅游景点;风景区,scope,False,1,120.121067,30.225038,旅游景点,风景区
